Compound,Date,Negative,Neutral,Positive,Tweets ago
0.0,Mon Jun 11 02:05:47 +0000 2018,1.0,0.0,0.0,51
0.4926,Mon Jun 11 02:03:31 +0000 2018,0.738,0.0,0.262,52
0.5093,Mon Jun 11 01:58:48 +0000 2018,0.477,0.0,0.523,53
0.7579,Mon Jun 11 01:53:17 +0000 2018,0.435,0.0,0.565,54
0.6467,Mon Jun 11 01:51:16 +0000 2018,0.752,0.0,0.248,55
0.0,Mon Jun 11 01:38:23 +0000 2018,1.0,0.0,0.0,56
0.636,Mon Jun 11 01:37:36 +0000 2018,0.724,0.0,0.276,57
0.8834,Mon Jun 11 01:30:56 +0000 2018,0.437,0.0,0.563,58
0.0,Mon Jun 11 01:29:21 +0000 2018,1.0,0.0,0.0,59
0.7351,Mon Jun 11 01:26:03 +0000 2018,0.625,0.079,0.296,60
0.0,Mon Jun 11 01:25:59 +0000 2018,1.0,0.0,0.0,61
0.0,Mon Jun 11 01:24:46 +0000 2018,1.0,0.0,0.0,62
0.4019,Mon Jun 11 01:24:12 +0000 2018,0.838,0.0,0.162,63
0.9151,Mon Jun 11 01:19:59 +0000 2018,0.543,0.0,0.457,64
0.6369,Mon Jun 11 01:12:31 +0000 2018,0.625,0.0,0.375,65
0.1511,Mon Jun 11 01:08:28 +0000 2018,0.898,0.0,0.102,66
0.1531,Mon Jun 11 01:08:24 +0000 2018,0.852,0.0,0.148,67
0.8834,Mon Jun 11 01:02:47 +0000 2018,0.437,0.0,0.563,68
0.0,Mon Jun 11 00:58:06 +0000 2018,1.0,0.0,0.0,69
0.2714,Mon Jun 11 00:52:34 +0000 2018,0.793,0.0,0.207,70
0.0,Mon Jun 11 00:51:11 +0000 2018,1.0,0.0,0.0,71
0.8478,Mon Jun 11 00:50:18 +0000 2018,0.494,0.0,0.506,72
0.8858,Mon Jun 11 00:45:14 +0000 2018,0.435,0.0,0.565,73
0.0,Mon Jun 11 00:44:36 +0000 2018,1.0,0.0,0.0,74
0.25,Mon Jun 11 00:35:41 +0000 2018,0.92,0.0,0.08,75
0.4588,Mon Jun 11 00:34:45 +0000 2018,0.833,0.0,0.167,76
0.0,Mon Jun 11 00:31:28 +0000 2018,1.0,0.0,0.0,77
0.3612,Mon Jun 11 00:27:42 +0000 2018,0.737,0.0,0.263,78
0.8908,Mon Jun 11 00:27:00 +0000 2018,0.43,0.0,0.57,79
0.0,Mon Jun 11 00:24:31 +0000 2018,1.0,0.0,0.0,80
0.0,Mon Jun 11 00:22:15 +0000 2018,1.0,0.0,0.0,81
0.6369,Mon Jun 11 00:22:15 +0000 2018,0.588,0.0,0.412,82
0.0,Mon Jun 11 00:18:16 +0000 2018,1.0,0.0,0.0,83
0.6369,Mon Jun 11 00:13:27 +0000 2018,0.756,0.0,0.244,84
0.8834,Mon Jun 11 00:12:31 +0000 2018,0.437,0.0,0.563,85
