Compound,Date,Negative,Neutral,Positive,Tweets ago
-0.5632,Tue Jul 10 11:04:01 +0000 2018,0.812,0.188,0.0,78
0.0,Tue Jul 10 09:17:05 +0000 2018,1.0,0.0,0.0,79
0.3612,Tue Jul 10 09:06:27 +0000 2018,0.884,0.0,0.116,80
0.8402,Tue Jul 10 08:59:10 +0000 2018,0.5,0.0,0.5,81
0.0,Tue Jul 10 08:56:04 +0000 2018,1.0,0.0,0.0,82
0.4939,Tue Jul 10 08:55:48 +0000 2018,0.856,0.0,0.144,83
0.0,Tue Jul 10 08:05:02 +0000 2018,1.0,0.0,0.0,84
0.5719,Tue Jul 10 07:29:03 +0000 2018,0.829,0.0,0.171,85
0.6369,Mon Jul 09 20:02:05 +0000 2018,0.833,0.0,0.167,86
0.5994,Mon Jul 09 19:02:06 +0000 2018,0.818,0.0,0.182,87
0.4767,Mon Jul 09 18:02:03 +0000 2018,0.78,0.0,0.22,88
0.9403,Mon Jul 09 16:04:04 +0000 2018,0.505,0.0,0.495,89
0.0,Mon Jul 09 15:51:05 +0000 2018,1.0,0.0,0.0,90
0.8268,Mon Jul 09 15:20:14 +0000 2018,0.675,0.0,0.325,91
0.8221,Mon Jul 09 14:29:05 +0000 2018,0.664,0.0,0.336,92
-0.5423,Mon Jul 09 14:23:06 +0000 2018,0.78,0.22,0.0,93
0.4215,Mon Jul 09 14:17:04 +0000 2018,0.872,0.0,0.128,94
-0.4767,Mon Jul 09 13:03:05 +0000 2018,0.795,0.205,0.0,95
0.6597,Mon Jul 09 12:18:40 +0000 2018,0.531,0.115,0.354,96
0.0,Mon Jul 09 12:01:04 +0000 2018,1.0,0.0,0.0,97
-0.5255,Mon Jul 09 11:03:02 +0000 2018,0.834,0.166,0.0,98
0.0,Mon Jul 09 10:03:09 +0000 2018,1.0,0.0,0.0,99
0.25,Mon Jul 09 08:51:27 +0000 2018,0.913,0.0,0.087,100
