Compound,Date,Negative,Neutral,Positive,Tweets ago
-0.7964,Fri Jul 13 23:11:58 +0000 2018,0.747,0.253,0.0,78
0.0,Fri Jul 13 23:01:03 +0000 2018,1.0,0.0,0.0,79
0.4466,Fri Jul 13 22:58:01 +0000 2018,0.882,0.0,0.118,80
-0.3612,Fri Jul 13 22:51:06 +0000 2018,0.878,0.122,0.0,81
-0.296,Fri Jul 13 22:41:04 +0000 2018,0.901,0.099,0.0,82
-0.5994,Fri Jul 13 22:31:05 +0000 2018,0.804,0.196,0.0,83
0.4215,Fri Jul 13 22:23:55 +0000 2018,0.887,0.0,0.113,84
0.0,Fri Jul 13 22:21:08 +0000 2018,1.0,0.0,0.0,85
-0.3291,Fri Jul 13 22:11:05 +0000 2018,0.728,0.174,0.098,86
0.7219,Fri Jul 13 22:02:12 +0000 2018,0.707,0.0,0.293,87
0.0,Fri Jul 13 22:01:00 +0000 2018,1.0,0.0,0.0,88
0.1779,Fri Jul 13 21:51:00 +0000 2018,0.928,0.0,0.072,89
0.34,Fri Jul 13 21:41:39 +0000 2018,0.876,0.0,0.124,90
0.2975,Fri Jul 13 21:37:11 +0000 2018,0.896,0.0,0.104,91
-0.296,Fri Jul 13 21:32:32 +0000 2018,0.885,0.115,0.0,92
0.0,Fri Jul 13 21:31:05 +0000 2018,1.0,0.0,0.0,93
-0.4767,Fri Jul 13 21:27:52 +0000 2018,0.866,0.134,0.0,94
0.7351,Fri Jul 13 21:21:00 +0000 2018,0.744,0.0,0.256,95
-0.1695,Fri Jul 13 21:11:08 +0000 2018,0.919,0.081,0.0,96
0.7717,Fri Jul 13 21:01:00 +0000 2018,0.642,0.0,0.358,97
0.0,Fri Jul 13 20:51:00 +0000 2018,1.0,0.0,0.0,98
-0.1695,Fri Jul 13 20:47:33 +0000 2018,0.932,0.068,0.0,99
0.0,Fri Jul 13 20:41:38 +0000 2018,1.0,0.0,0.0,100
