Compound,Date,Negative,Neutral,Positive,Tweets ago
-0.2732,Sat Jul 14 02:42:56 +0000 2018,0.87,0.13,0.0,78
0.5574,Sat Jul 14 02:38:49 +0000 2018,0.662,0.0,0.338,79
0.296,Sat Jul 14 02:33:08 +0000 2018,0.879,0.0,0.121,80
0.0,Sat Jul 14 02:15:00 +0000 2018,1.0,0.0,0.0,81
-0.8126,Sat Jul 14 02:09:46 +0000 2018,0.567,0.433,0.0,82
-0.3182,Sat Jul 14 02:09:26 +0000 2018,0.718,0.196,0.086,83
-0.7579,Sat Jul 14 01:56:00 +0000 2018,0.552,0.448,0.0,84
-0.8555,Sat Jul 14 01:50:17 +0000 2018,0.588,0.412,0.0,85
0.6908,Sat Jul 14 01:41:10 +0000 2018,0.637,0.0,0.363,86
-0.5106,Sat Jul 14 01:27:53 +0000 2018,0.809,0.191,0.0,87
-0.3182,Sat Jul 14 01:20:00 +0000 2018,0.897,0.103,0.0,88
0.0,Sat Jul 14 01:18:44 +0000 2018,1.0,0.0,0.0,89
0.0,Sat Jul 14 01:13:41 +0000 2018,1.0,0.0,0.0,90
-0.5423,Sat Jul 14 01:10:00 +0000 2018,0.727,0.273,0.0,91
0.0,Sat Jul 14 01:07:14 +0000 2018,1.0,0.0,0.0,92
0.0,Sat Jul 14 00:56:40 +0000 2018,1.0,0.0,0.0,93
-0.4019,Sat Jul 14 00:50:00 +0000 2018,0.803,0.197,0.0,94
-0.7003,Sat Jul 14 00:42:02 +0000 2018,0.507,0.493,0.0,95
0.0,Sat Jul 14 00:33:00 +0000 2018,1.0,0.0,0.0,96
0.0,Sat Jul 14 00:31:28 +0000 2018,1.0,0.0,0.0,97
0.5267,Sat Jul 14 00:27:47 +0000 2018,0.825,0.0,0.175,98
0.0,Sat Jul 14 00:19:36 +0000 2018,1.0,0.0,0.0,99
0.5994,Sat Jul 14 00:15:23 +0000 2018,0.755,0.0,0.245,100
