Compound,Date,Negative,Neutral,Positive,Tweets ago
0.1779,Fri Jul 13 20:20:06 +0000 2018,0.922,0.0,0.078,78
-0.7152,Fri Jul 13 20:10:05 +0000 2018,0.709,0.291,0.0,79
0.7178,Fri Jul 13 19:52:04 +0000 2018,0.652,0.083,0.264,80
0.431,Fri Jul 13 19:42:06 +0000 2018,0.831,0.0,0.169,81
0.2023,Fri Jul 13 19:32:04 +0000 2018,0.703,0.133,0.164,82
0.0,Fri Jul 13 19:22:04 +0000 2018,1.0,0.0,0.0,83
0.0,Fri Jul 13 19:12:01 +0000 2018,1.0,0.0,0.0,84
-0.6124,Fri Jul 13 19:10:14 +0000 2018,0.833,0.167,0.0,85
0.0,Fri Jul 13 19:02:04 +0000 2018,1.0,0.0,0.0,86
-0.5423,Fri Jul 13 18:52:04 +0000 2018,0.844,0.156,0.0,87
0.0,Fri Jul 13 18:42:05 +0000 2018,1.0,0.0,0.0,88
-0.4767,Fri Jul 13 18:22:06 +0000 2018,0.846,0.154,0.0,89
0.5267,Fri Jul 13 18:12:02 +0000 2018,0.812,0.0,0.188,90
-0.2263,Fri Jul 13 18:02:02 +0000 2018,0.84,0.16,0.0,91
-0.34,Fri Jul 13 17:52:05 +0000 2018,0.636,0.233,0.131,92
-0.34,Fri Jul 13 17:42:04 +0000 2018,0.897,0.103,0.0,93
-0.4588,Fri Jul 13 17:32:05 +0000 2018,0.875,0.125,0.0,94
0.0,Fri Jul 13 17:22:17 +0000 2018,1.0,0.0,0.0,95
0.0,Fri Jul 13 17:22:05 +0000 2018,1.0,0.0,0.0,96
0.4939,Fri Jul 13 17:12:02 +0000 2018,0.563,0.141,0.296,97
-0.0772,Fri Jul 13 17:02:05 +0000 2018,0.929,0.071,0.0,98
0.0,Fri Jul 13 16:52:05 +0000 2018,1.0,0.0,0.0,99
0.0,Fri Jul 13 16:42:04 +0000 2018,1.0,0.0,0.0,100
